"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
2752,"subadult","M",589,"Feeding",4,3889,29.6171409,44.37493405,"W"
2753,"subadult","M",618,"Feeding",23,3882,30.3043422,44.29479458,"S"
2754,"subadult","F",590,"Feeding",10,5193,28.88556839,44.42163403,"W"
2755,"subadult","M",602,"Feeding",2,3864,30.06344796,44.88625793,"W"
2756,"subadult","M",582,"Feeding",6,4110,30.32943765,44.34957063,"W"
2757,"subadult","M",606,"Feeding",9,4310,29.85583259,44.77425082,"W"
2758,"subadult","M",607,"Feeding",9,3981,30.26944053,44.32047997,"W"
2759,"subadult","F",602,"Feeding",23,4982,29.97617146,44.7127678,"S"
2760,"subadult","M",615,"Feeding",6,3940,29.33204663,44.30666259,"W"
2761,"subadult","F",614,"Feeding",14,4904,29.61096948,44.2270434,"S"
2762,"subadult","M",592,"Feeding",9,4203,29.91509953,45.34114134,"W"
2763,"subadult","F",595,"Feeding",13,5143,30.44155987,45.37981663,"S"
2764,"subadult","F",592,"Feeding",18,5167,29.81075566,44.70598073,"S"
2765,"subadult","F",623,"Feeding",14,5035,30.10436882,45.26005587,"S"
2766,"subadult","M",621,"Feeding",2,4397,30.24009405,44.52220899,"W"
2767,"subadult","F",616,"Feeding",20,4993,30.26006266,44.46309553,"S"
2768,"subadult","F",620,"Feeding",5,5158,29.8947062,45.21162108,"W"
2769,"subadult","F",636,"Feeding",3,5318,28.85932585,44.39321124,"W"
2770,"subadult","F",621,"Feeding",21,4976,29.63069616,44.35420931,"S"
2771,"subadult","M",633,"Feeding",11,4163,30.30334223,44.55022396,"S"
2772,"subadult","M",603,"Feeding",6,4142,30.19221716,45.47688401,"W"
2773,"subadult","F",614,"Feeding",11,5160,30.15649913,45.24946645,"S"
2774,"subadult","F",637,"Feeding",14,5275,29.80760201,45.24584789,"S"
2775,"subadult","F",584,"Feeding",23,5183,29.20181531,44.46596336,"S"
2776,"subadult","M",639,"Feeding",8,4121,28.92213535,44.39277452,"W"
2777,"subadult","M",599,"Feeding",14,4106,30.55537435,44.57375634,"S"
2778,"subadult","M",598,"Feeding",20,4138,29.43105408,44.60228655,"S"
2779,"subadult","M",612,"Feeding",16,4105,29.452584,44.78176068,"S"
2780,"subadult","F",628,"Feeding",3,5287,30.03038911,44.25502812,"W"
2781,"subadult","M",632,"Feeding",13,4433,30.24801431,45.03473683,"S"
2782,"subadult","M",638,"Feeding",21,4313,30.44381461,44.77365024,"S"
2783,"subadult","M",599,"Feeding",7,4186,29.27894594,44.55740421,"W"
2784,"subadult","M",614,"Feeding",10,4099,30.46526368,45.34048106,"W"
2785,"subadult","M",602,"Feeding",16,4009,28.99880351,44.50563887,"S"
2786,"subadult","M",609,"Feeding",22,4379,29.69268275,44.14600629,"S"
2787,"subadult","M",604,"Feeding",10,4006,29.83109263,44.36136716,"W"
2788,"subadult","M",583,"Feeding",8,4229,29.98222794,44.95543325,"W"
2789,"subadult","F",636,"Feeding",3,5039,30.50825541,44.66734089,"W"
2790,"subadult","M",610,"Feeding",8,4354,29.46281909,44.11041148,"W"
2791,"subadult","M",612,"Feeding",10,4060,29.90751354,44.88279398,"W"
2792,"subadult","F",624,"Feeding",14,5143,30.33797271,45.28174572,"S"
2793,"subadult","F",586,"Feeding",20,4865,30.27902277,44.37195611,"S"
2794,"subadult","M",624,"Feeding",2,4032,29.49636625,44.80808863,"W"
2795,"subadult","F",622,"Feeding",23,4930,29.8149877,45.10730199,"S"
2796,"subadult","F",613,"Feeding",2,5250,30.26398072,44.43607876,"W"
2797,"subadult","F",634,"Feeding",21,5043,29.93192535,44.49963406,"S"
2798,"subadult","M",607,"Feeding",12,4206,30.27403285,44.36052736,"S"
2799,"subadult","F",599,"Feeding",10,5127,30.43630847,45.15173017,"W"
2800,"subadult","M",633,"Feeding",7,4054,29.80688745,44.40744768,"W"
2801,"subadult","M",588,"Feeding",20,4329,30.34803422,45.01730788,"S"
2802,"subadult","M",619,"Feeding",2,4105,30.11437658,45.09391992,"W"
2803,"subadult","F",635,"Feeding",18,4975,29.9403627,44.23219734,"S"
2804,"subadult","M",594,"Feeding",4,4108,29.80873007,45.1171234,"W"
2805,"subadult","F",635,"Feeding",9,5058,30.29080866,45.01698114,"W"
2806,"subadult","M",620,"Feeding",21,4152,29.51831063,44.39710684,"S"
2807,"subadult","M",584,"Feeding",9,4286,30.46027104,44.65233313,"W"
2808,"subadult","M",605,"Feeding",11,4265,29.51448756,44.58402424,"S"
2809,"subadult","F",635,"Feeding",18,5281,29.94350952,44.92757184,"S"
2810,"subadult","F",616,"Feeding",6,5161,29.14475245,44.61412272,"W"
2811,"subadult","F",619,"Feeding",18,5211,29.11828481,44.26371937,"S"
2812,"subadult","F",617,"Feeding",16,5066,29.77687608,45.26420504,"S"
2813,"subadult","M",607,"Feeding",1,4288,29.70135649,44.73492219,"W"
2814,"subadult","M",581,"Feeding",18,4032,30.13803232,45.21089543,"S"
2815,"subadult","M",587,"Feeding",7,4046,29.5933354,44.1287039,"W"
2816,"subadult","M",635,"Feeding",12,3842,29.86571759,44.90642282,"S"
2817,"subadult","F",584,"Feeding",8,5067,29.56701071,44.36987794,"W"
2818,"subadult","M",616,"Feeding",10,3647,29.58348082,44.515521,"W"
2819,"subadult","F",585,"Feeding",15,5139,30.15752019,44.8733899,"S"
2820,"subadult","M",604,"Feeding",10,4217,29.8040113,45.06069083,"W"
2821,"subadult","M",639,"Feeding",15,4084,30.22153773,44.18697011,"S"
2822,"subadult","F",584,"Feeding",4,5197,30.25024804,45.21887277,"W"
2823,"subadult","F",625,"Feeding",11,4913,29.97145381,44.1794775,"S"
2824,"subadult","M",628,"Feeding",6,4205,30.00955054,45.46965206,"W"
2825,"subadult","F",590,"Feeding",1,5299,29.9018545,44.35200463,"W"
2826,"subadult","M",639,"Feeding",10,4191,29.65826094,44.56961662,"W"
2827,"subadult","M",596,"Feeding",12,4259,29.25146962,44.34696291,"S"
2828,"subadult","F",634,"Feeding",2,5167,30.14745737,45.17164868,"W"
2829,"subadult","M",587,"Feeding",12,4400,29.92086577,45.30684895,"S"
2830,"subadult","M",599,"Feeding",11,4093,30.08019559,44.91880738,"S"
2831,"subadult","M",601,"Feeding",14,4247,29.02559687,44.41860385,"S"
2832,"subadult","M",595,"Feeding",11,4051,29.65342588,44.47419334,"S"
2833,"subadult","F",597,"Feeding",7,4879,30.37154758,45.09991749,"W"
2834,"subadult","M",633,"Feeding",6,3895,29.69659497,44.3460671,"W"
2835,"subadult","M",606,"Feeding",10,4164,30.30440055,44.65586748,"W"
2836,"subadult","F",629,"Feeding",13,4976,29.55666813,44.35875508,"S"
2837,"subadult","F",611,"Feeding",10,5133,29.56551263,44.40684143,"W"
2838,"subadult","M",605,"Feeding",12,4304,29.25523127,44.497789,"S"
2839,"subadult","M",606,"Feeding",10,4110,29.97701556,45.48180329,"W"
2840,"subadult","F",619,"Feeding",9,5067,30.05782703,44.30081078,"W"
2841,"subadult","F",591,"Feeding",5,5109,29.77837792,44.26498732,"W"
2842,"subadult","F",589,"Feeding",8,5154,30.00073467,44.65038692,"W"
2843,"subadult","M",583,"Feeding",9,4162,29.10255001,44.33411527,"W"
2844,"subadult","M",590,"Feeding",4,4234,29.8420896,45.00327281,"W"
2845,"subadult","F",622,"Feeding",5,5046,30.50171444,44.56678107,"W"
2846,"subadult","F",601,"Feeding",9,5254,30.28969442,45.34887434,"W"
2847,"subadult","F",640,"Feeding",23,4936,29.83001896,44.35576351,"S"
2848,"subadult","F",584,"Feeding",18,5229,29.81612564,44.44552861,"S"
2849,"subadult","F",620,"Feeding",20,5019,30.20601666,45.3689058,"S"
2850,"subadult","M",637,"Feeding",1,3853,29.8765997,44.73242337,"W"
2851,"subadult","M",603,"Feeding",4,4565,29.66526629,44.63692388,"W"
2852,"subadult","M",601,"Feeding",10,4312,30.08958773,44.6321372,"W"
2853,"subadult","M",583,"Feeding",20,4481,30.31863314,44.59808024,"S"
2854,"subadult","F",596,"Feeding",4,4915,29.76393207,45.04501335,"W"
2855,"subadult","M",625,"Feeding",8,3998,29.807222,44.85886448,"W"
2856,"subadult","M",618,"Feeding",4,4563,29.86901367,45.36111215,"W"
2857,"subadult","M",603,"Feeding",7,4480,29.96172403,44.33998705,"W"
2858,"subadult","M",607,"Feeding",6,3953,30.17971948,44.9067254,"W"
2859,"subadult","M",615,"Feeding",3,4456,30.23443569,44.93132789,"W"
2860,"subadult","M",581,"Feeding",4,4261,29.41746468,44.29910588,"W"
2861,"subadult","F",621,"Feeding",14,4973,30.05538848,44.27352849,"S"
2862,"subadult","M",594,"Feeding",15,4020,30.29911506,44.38591909,"S"
2863,"subadult","M",623,"Feeding",17,4013,30.23902561,44.47607613,"S"
2864,"subadult","M",580,"Feeding",16,4324,28.99762854,44.63106022,"S"
2865,"subadult","M",590,"Feeding",17,4034,29.05329595,44.6744064,"S"
2866,"subadult","M",613,"Feeding",9,4108,29.08888096,44.27774978,"W"
2867,"subadult","F",604,"Feeding",7,5020,29.56123161,44.72710377,"W"
